certification_no,plan_date,insurer,plan_name,plan_level_raw,geographical_coverage,geo_tier,ward_restriction,ward_tier,provider_restriction,has_deductible,deductible_amount,coinsurance_pct,cost_tier,lifetime_benefit_limit,lifetime_tier,annual_benefit_limit,room_board_per_day,misc_charges_limit,surgeon_complex_limit,psychiatric_limit,no_sublimits,schedule_tier,overall_tier,fields_missing,scrape_status,source_url
F00052-02-001-01,7 July 2021,China Taiping Life Insurance (Hong Kong) Company Limited,Taiping Life VHIS Flexi Plan,Plan 3 - Semi-Private Room with SMM,Worldwide,tier1,No restriction,tier1,No restriction,,,30,tier3,None,tier1,1000000,,24400,,55000,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00052/F00052-02-001-01-PlanDoc-e.pdf
F00052-03-000-01,7 July 2021,China Taiping Life Insurance (Hong Kong) Company Limited,Taiping Life VHIS Flexi Plan,Plan 4 - Standard Private Room,Worldwide,tier1,No restriction,tier1,No restriction,,,30,tier3,None,tier1,1360000,,32500,,57000,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00052/F00052-03-000-01-PlanDoc-e.pdf
F00052-03-001-01,7 July 2021,China Taiping Life Insurance (Hong Kong) Company Limited,Taiping Life VHIS Flexi Plan,Plan 5 - Standard Private Room with SMM,Worldwide,tier1,No restriction,tier1,No restriction,,,30,tier3,None,tier1,1360000,,32500,,57000,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00052/F00052-03-001-01-PlanDoc-e.pdf
F00062-01-000-02,1 January 2023,China Taiping Life Insurance (Hong Kong) Company Limited,Taiping Life VHIS Priority Plan,HKD0 Deductible,Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,None,tier1,20000000,,,,,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00062/F00062-01-000-02-PlanDoc-e.pdf
F00062-02-000-02,1 January 2023,China Taiping Life Insurance (Hong Kong) Company Limited,Taiping Life VHIS Priority Plan,"HKD20,000 Deductible",Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,None,tier1,20000000,,,,,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00062/F00062-02-000-02-PlanDoc-e.pdf
F00062-03-000-02,1 January 2023,China Taiping Life Insurance (Hong Kong) Company Limited,Taiping Life VHIS Priority Plan,"HKD50,000 Deductible",Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,None,tier1,20000000,,,,,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00062/F00062-03-000-02-PlanDoc-e.pdf
F00062-04-000-02,1 January 2023,China Taiping Life Insurance (Hong Kong) Company Limited,Taiping Life VHIS Priority Plan,USD0 Deductible,Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,None,tier1,2500000,,,,,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00062/F00062-04-000-02-PlanDoc-e.pdf
F00062-05-000-02,1 January 2023,China Taiping Life Insurance (Hong Kong) Company Limited,Taiping Life VHIS Priority Plan,"USD2,500 Deductible",Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,None,tier1,2500000,,,,,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00062/F00062-05-000-02-PlanDoc-e.pdf
F00062-06-000-02,1 January 2023,China Taiping Life Insurance (Hong Kong) Company Limited,Taiping Life VHIS Priority Plan,"USD6,250 Deductible",Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,None,tier1,2500000,,,,,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00062/F00062-06-000-02-PlanDoc-e.pdf
F00077-01-000-01,10 January 2025,Chow Tai Fook Life Insurance Co Ltd,"""ChampCare"" Medical Insurance Plan","Benefit Level 1 - Asia (HKD 36,000 Deductible + HKD 36,000 Benefit Contribution Amount)",Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,Capped (see doc),tier2,,,,,,,tier3,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00077/F00077-01-000-01-PlanDoc-e.pdf
F00077-02-000-01,10 January 2025,Chow Tai Fook Life Insurance Co Ltd,"""ChampCare"" Medical Insurance Plan","Benefit Level 2 - Asia (HKD 18,000 Deductible + HKD 18,000 Benefit Contribution Amount)",Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,Capped (see doc),tier2,,,,,,,tier3,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00077/F00077-02-000-01-PlanDoc-e.pdf
F00077-03-000-01,10 January 2025,Chow Tai Fook Life Insurance Co Ltd,"""ChampCare"" Medical Insurance Plan",Benefit Level 3 - Asia (HKD 0 Deductible + HKD 0 Benefit Contribution Amount),Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,Capped (see doc),tier2,,,,,,,tier3,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00077/F00077-03-000-01-PlanDoc-e.pdf
F00077-04-000-01,10 January 2025,Chow Tai Fook Life Insurance Co Ltd,"""ChampCare"" Medical Insurance Plan","Benefit Level 4 - Worldwide excluding USA (HKD 18,000 Deductible + HKD 18,000 Benefit Contribution Amount)",Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,Capped (see doc),tier2,,,,,,,tier3,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00077/F00077-04-000-01-PlanDoc-e.pdf
F00077-05-000-01,10 January 2025,Chow Tai Fook Life Insurance Co Ltd,"""ChampCare"" Medical Insurance Plan",Benefit Level 5 - Worldwide excluding USA (HKD 0 Deductible + HKD 0 Benefit Contribution Amount),Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,Capped (see doc),tier2,,,,,,,tier3,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00077/F00077-05-000-01-PlanDoc-e.pdf
F00077-06-000-01,10 January 2025,Chow Tai Fook Life Insurance Co Ltd,"""ChampCare"" Medical Insurance Plan","Benefit Level 6 - Worldwide (HKD 18,000 Deductible + HKD 18,000 Benefit Contribution Amount)",Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,Capped (see doc),tier2,,,,,,,tier3,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00077/F00077-06-000-01-PlanDoc-e.pdf
F00077-07-000-01,10 January 2025,Chow Tai Fook Life Insurance Co Ltd,"""ChampCare"" Medical Insurance Plan",Benefit Level 7 - Worldwide (HKD 0 Deductible + HKD 0 Benefit Contribution Amount),Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,Capped (see doc),tier2,,,,,,,tier3,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00077/F00077-07-000-01-PlanDoc-e.pdf
F00077-08-000-01,10 January 2025,Chow Tai Fook Life Insurance Co Ltd,"""ChampCare"" Medical Insurance Plan","Benefit Level 1 - Asia (USD 4,640 Deductible + USD 4,640 Benefit Contribution Amount)",Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,Capped (see doc),tier2,,,,,,,tier3,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00077/F00077-08-000-01-PlanDoc-e.pdf
F00077-09-000-01,10 January 2025,Chow Tai Fook Life Insurance Co Ltd,"""ChampCare"" Medical Insurance Plan","Benefit Level 2 - Asia (USD 2,320 Deductible + USD 2,320 Benefit Contribution Amount)",Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,Capped (see doc),tier2,,,,,,,tier3,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00077/F00077-09-000-01-PlanDoc-e.pdf
F00077-10-000-01,10 January 2025,Chow Tai Fook Life Insurance Co Ltd,"""ChampCare"" Medical Insurance Plan",Benefit Level 3 - Asia (USD 0 Deductible + USD 0 Benefit Contribution Amount),Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,Capped (see doc),tier2,,,,,,,tier3,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00077/F00077-10-000-01-PlanDoc-e.pdf
F00077-11-000-01,10 January 2025,Chow Tai Fook Life Insurance Co Ltd,"""ChampCare"" Medical Insurance Plan","Benefit Level 4 - Worldwide excluding USA (USD 2,320 Deductible + USD 2,320 Benefit Contribution Amount)",Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,Capped (see doc),tier2,,,,,,,tier3,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00077/F00077-11-000-01-PlanDoc-e.pdf
F00077-12-000-01,10 January 2025,Chow Tai Fook Life Insurance Co Ltd,"""ChampCare"" Medical Insurance Plan",Benefit Level 5 - Worldwide excluding USA (USD 0 Deductible + USD 0 Benefit Contribution Amount),Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,Capped (see doc),tier2,,,,,,,tier3,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00077/F00077-12-000-01-PlanDoc-e.pdf
F00077-13-000-01,10 January 2025,Chow Tai Fook Life Insurance Co Ltd,"""ChampCare"" Medical Insurance Plan","Benefit Level 6 - Worldwide (USD 2,320 Deductible + USD 2,320 Benefit Contribution Amount)",Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,Capped (see doc),tier2,,,,,,,tier3,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00077/F00077-13-000-01-PlanDoc-e.pdf
F00077-14-000-01,10 January 2025,Chow Tai Fook Life Insurance Co Ltd,"""ChampCare"" Medical Insurance Plan",Benefit Level 7 - Worldwide (USD 0 Deductible + USD 0 Benefit Contribution Amount),Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,Capped (see doc),tier2,,,,,,,tier3,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00077/F00077-14-000-01-PlanDoc-e.pdf
F00049-01-000-03,16 April 2025,HSBC Life (International) Limited,HSBC Voluntary Health Insurance Flexi Plan,Bronze level (HKD0 Deductible),Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,5000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00049/F00049-01-000-03-PlanDoc-e.pdf
F00049-02-000-03,16 April 2025,HSBC Life (International) Limited,HSBC Voluntary Health Insurance Flexi Plan,"Bronze level (HKD16,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,5000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00049/F00049-02-000-03-PlanDoc-e.pdf
F00049-03-000-03,16 April 2025,HSBC Life (International) Limited,HSBC Voluntary Health Insurance Flexi Plan,"Bronze level (HKD50,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,5000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00049/F00049-03-000-03-PlanDoc-e.pdf
F00049-04-000-03,16 April 2025,HSBC Life (International) Limited,HSBC Voluntary Health Insurance Flexi Plan,"Bronze level (HKD100,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,5000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00049/F00049-04-000-03-PlanDoc-e.pdf
F00049-05-000-03,16 April 2025,HSBC Life (International) Limited,HSBC Voluntary Health Insurance Flexi Plan,Silver level (HKD0 Deductible),Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,25000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00049/F00049-05-000-03-PlanDoc-e.pdf
F00049-06-000-03,16 April 2025,HSBC Life (International) Limited,HSBC Voluntary Health Insurance Flexi Plan,"Silver level (HKD16,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,25000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00049/F00049-06-000-03-PlanDoc-e.pdf
F00049-07-000-03,16 April 2025,HSBC Life (International) Limited,HSBC Voluntary Health Insurance Flexi Plan,"Silver level (HKD50,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,25000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00049/F00049-07-000-03-PlanDoc-e.pdf
F00049-08-000-03,16 April 2025,HSBC Life (International) Limited,HSBC Voluntary Health Insurance Flexi Plan,"Silver level (HKD100,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,25000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00049/F00049-08-000-03-PlanDoc-e.pdf
F00049-09-000-03,16 April 2025,HSBC Life (International) Limited,HSBC Voluntary Health Insurance Flexi Plan,Gold level (HKD0 Deductible),Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,30000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00049/F00049-09-000-03-PlanDoc-e.pdf
F00049-10-000-03,16 April 2025,HSBC Life (International) Limited,HSBC Voluntary Health Insurance Flexi Plan,"Gold level (HKD16,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,30000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00049/F00049-10-000-03-PlanDoc-e.pdf
F00049-11-000-03,16 April 2025,HSBC Life (International) Limited,HSBC Voluntary Health Insurance Flexi Plan,"Gold level (HKD50,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,30000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00049/F00049-11-000-03-PlanDoc-e.pdf
F00049-12-000-03,16 April 2025,HSBC Life (International) Limited,HSBC Voluntary Health Insurance Flexi Plan,"Gold level (HKD100,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,30000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00049/F00049-12-000-03-PlanDoc-e.pdf
F00049-13-000-03,16 April 2025,HSBC Life (International) Limited,HSBC Voluntary Health Insurance Flexi Plan,Diamond level (HKD0 Deductible),Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,40000000,,,,50000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00049/F00049-13-000-03-PlanDoc-e.pdf
F00049-14-000-03,16 April 2025,HSBC Life (International) Limited,HSBC Voluntary Health Insurance Flexi Plan,"Diamond level (HKD16,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,40000000,,,,50000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00049/F00049-14-000-03-PlanDoc-e.pdf
F00049-15-000-03,16 April 2025,HSBC Life (International) Limited,HSBC Voluntary Health Insurance Flexi Plan,"Diamond level (HKD50,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,40000000,,,,50000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00049/F00049-15-000-03-PlanDoc-e.pdf
F00049-16-000-03,16 April 2025,HSBC Life (International) Limited,HSBC Voluntary Health Insurance Flexi Plan,"Diamond level (HKD100,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,40000000,,,,50000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00049/F00049-16-000-03-PlanDoc-e.pdf
F00049-17-000-01,16 April 2025,HSBC Life (International) Limited,HSBC Voluntary Health Insurance Flexi Plan,Platinum level (HKD0 Deductible),Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,35000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00049/F00049-17-000-01-PlanDoc-e.pdf
F00049-18-000-01,16 April 2025,HSBC Life (International) Limited,HSBC Voluntary Health Insurance Flexi Plan,"Platinum level (HKD16,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,35000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00049/F00049-18-000-01-PlanDoc-e.pdf
F00049-19-000-01,16 April 2025,HSBC Life (International) Limited,HSBC Voluntary Health Insurance Flexi Plan,"Platinum level (HKD50,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,35000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00049/F00049-19-000-01-PlanDoc-e.pdf
F00049-20-000-01,16 April 2025,HSBC Life (International) Limited,HSBC Voluntary Health Insurance Flexi Plan,"Platinum level (HKD100,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,35000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00049/F00049-20-000-01-PlanDoc-e.pdf
F00079-01-000-01,23 June 2025,HSBC Life (International) Limited,HSBC Voluntary Health Insurance One Plan ,One Plan,Worldwide,tier1,No restriction,tier1,No restriction,,,30,tier3,None,tier1,,1000,14000,,30000,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00079/F00079-01-000-01-PlanDoc-e.pdf
F00079-01-001-01,23 June 2025,HSBC Life (International) Limited,HSBC Voluntary Health Insurance One Plan ,One Plan with SMM,Worldwide,tier1,No restriction,tier1,No restriction,,,30,tier3,None,tier1,,1000,14000,,30000,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00079/F00079-01-001-01-PlanDoc-e.pdf
F00076-01-000-02,22 September 2025,HSBC Life (International) Limited,Vital Care Voluntary Health Insurance Flexi Plan,Bronze level (HKD0 Deductible),Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,5000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00076/F00076-01-000-02-PlanDoc-e.pdf
F00076-02-000-02,22 September 2025,HSBC Life (International) Limited,Vital Care Voluntary Health Insurance Flexi Plan,"Bronze level (HKD16,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,5000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00076/F00076-02-000-02-PlanDoc-e.pdf
F00076-03-000-02,22 September 2025,HSBC Life (International) Limited,Vital Care Voluntary Health Insurance Flexi Plan,"Bronze level (HKD50,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,5000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00076/F00076-03-000-02-PlanDoc-e.pdf
F00076-04-000-02,22 September 2025,HSBC Life (International) Limited,Vital Care Voluntary Health Insurance Flexi Plan,"Bronze level (HKD100,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,5000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00076/F00076-04-000-02-PlanDoc-e.pdf
F00076-05-000-02,22 September 2025,HSBC Life (International) Limited,Vital Care Voluntary Health Insurance Flexi Plan,Silver level (HKD0 Deductible),Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,25000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00076/F00076-05-000-02-PlanDoc-e.pdf
F00076-06-000-02,22 September 2025,HSBC Life (International) Limited,Vital Care Voluntary Health Insurance Flexi Plan,"Silver level (HKD16,000 Deductible)",Limited (see doc),tier2,,tier3,No restriction,,,,tier3,Capped (see doc),tier2,25000000,,,,30000,,tier2,tier3,ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00076/F00076-06-000-02-PlanDoc-e.pdf
